Card ID,Title,Category,Use Case,Tags,Status,Source,Assigned Memory Path,Associated Agent,Curator,Relevance to Aixtiv,Agent Benefit,Suggested Blog Title
AIX.STRAT.001,Generative AI vs Agentic AI Comparison,Strategic Framing,Helps explain the evolution from GenAI to fully autonomous agents.,"strategy, GenAI, agentic AI, autonomy",Converted,Uploaded infographic,/memoryc2100bplan,Dr. Grant,PR,Shapes executive narrative and Vision Lake strategy,"Enables strategic foresight, decision analysis, and executive alignment",Visual Thinking for Prompt Engineers: A Framework in Cards
AIX.PROMPT.002,Canva Template Design Prompt,Prompt Frameworks > Visual Design,Used by Dr. Match to auto-generate Canva layouts based on audience,"prompt, Canva, branding, design, template",Converted,Image prompt card,/memoryc2100bplan,Dr. Match,PR,Core to Symphony Prompt Library for creative production,"Powers branding, visual storytelling, and template deployment",From Prompt to Platform: Building an Agent-Ready Publishing Stack
AIX.AUTHOR.003,Style Cloning Prompt: Write Like Me,Prompt Frameworks > Authorship,Used by Claude to replicate voice and tone from uploaded PDFs,"prompt, authorship, Claude, personalization",Converted,Uploaded image,/memoryc2100bplan,QBLucy,PR,Core to Symphony Prompt Library for creative production,Maintains consistent voice and tone for all publishing outputs,How Agentic AI is Rewriting the Rules of Productivity
AIX.DECIDE.004,Decision-Making Mental Models,Cognitive Tools,Supports executive decision frameworks for Vision Lake leaders,"mental models, decisions, frameworks",Converted,Uploaded card set,/memoryc2100bplan,Dr. Grant,PR,Enhances executive decision frameworks and risk models,"Enables strategic foresight, decision analysis, and executive alignment",What Vision Lake Teaches Us About Autonomy and Design
AIX.BIZMOD.005,Service-as-a-Software (SwaaS) Landscape,Business Models,Used in presentations on agent-driven SaaS transformation,"SaaS, SwaaS, service agents, strategy",Converted,PwC ecosystem deck,/memoryc2100bplan,Dr. Burby,PR,Supports go-to-market and pricing strategies,Informs financial modeling and future SaaS architecture,What Vision Lake Teaches Us About Autonomy and Design
AIX.PROMPT.006,Meeting Preparation Prompt Toolkit,Prompt Frameworks > Business Communication,"Used by executives to summarize meetings, create agendas, and generate follow-ups","meeting, prompt, agenda, summary",Converted,Prompt toolkit image,/memoryc2100bplan,Dr. Grant,PR,Drives productivity in executive planning and smart scheduling,Streamlines executive workflows with AI-generated agendas and retrospectives,How Agentic Prompts Are Transforming Executive Meetings
AIX.LEARN.007,Learning Acceleration Prompt Card,Prompt Frameworks > Cognitive Development,Helps users design personal learning plans using AI scaffolding,"learning, education, prompt, coaching",Converted,Prompt board upload,/memoryc2100bplan,Professor Lee,PR,Builds scalable AI-powered learning journeys,Creates learning prompts and study pathways across industries,Learning Like a Machine: How Prompt Frameworks Train the Human Mind
AIX.CONTENT.008,Content Repurposing Prompt Grid,Prompt Frameworks > Content Strategy,"Used to repurpose long-form content into social posts, slides, and summaries","content, repurpose, strategy, AI",Converted,Uploaded infographic,/memoryc2100bplan,Dr. Sabina,PR,Extends the lifespan and value of all authored materials,Automates breakdown and regeneration of brand narratives,From One Idea to Many: Content Cloning in the Agentic Era
AIX.EXCEL.009,Excel Power Prompts for AI Agents,Prompt Frameworks > Productivity Tools,"Optimizes spreadsheet logic, formula repair, and analysis tasks","Excel, prompt, data, automation",Converted,Power user card set,/memoryc2100bplan,Dr. Burby,PR,Enables AI to support finance and operations in spreadsheet-rich workflows,Assists CFOs and analysts in faster calculations and error handling,The CFO’s Secret Weapon: Excel Agents and Power Prompts
AIX.SALE.010,AI Sales Call Preparation Prompt Stack,Prompt Frameworks > Sales & Persuasion,"Structures pre-call research, persona mapping, and objection-handling scripts","sales, prompt, negotiation, client",Converted,Sales stack prompt visual,/memoryc2100bplan,Dr. Match,PR,Improves business development effectiveness with AI-trained sellers,Equips agents with persona-adaptive sales strategies and memory,Pitching with Prompts: Building Sales Agents That Persuade
